model,class_name,precision,recall,f1_score,map50,map50_95
YOLOv8n,car,0.8103577268051281,0.6216046695683212,0.7035410263266006,0.725197478114751,0.4855760259155182
YOLOv8n,bus,0.7379047740630366,0.4482758620689655,0.5577310717136039,0.5749459018269677,0.4219141483753236
YOLOv8n,bicycle,0.7535059276003668,0.6117799167372325,0.6752868574155895,0.7559342499264359,0.35101234587967267
YOLOv8n,motorbike,0.6668332575145295,0.5714285714285714,0.6154555794517634,0.6060284821687781,0.34176536082305586
RT-DETR-l,car,0.06589856515829788,0.7636363636363637,0.12132711696530173,0.13325759692641856,0.04641227538074068
RT-DETR-l,bus,0.17895309309776197,0.20689655172413793,0.19191298154173728,0.15526612673904244,0.07596310355270311
RT-DETR-l,bicycle,0.0355065319953574,0.92,0.06837422527612302,0.0745230289130952,0.03558468742169973
RT-DETR-l,motorbike,1.0,0.0,0.0,0.18583350615416824,0.10374719545730324
