model,map50,map50_95,precision_macro,recall_macro
YOLOv8n,0.6655265280092332,0.40006697024839266,0.7421504214957653,0.5632722549507727
RT-DETR-l,0.1372200646831811,0.06542681545311169,0.32008954756285435,0.4726332288401254
